,海报图片,电影名称,信息,评分,评价人数,短评
88,https://movie.douban.com/subject/1292679/,春光乍泄,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu... 1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,9.0,658056人评价,爱情纠缠，男女一致。
89,https://movie.douban.com/subject/1302425/,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch... 1999 / 中国香港 / 喜剧 剧情 爱情,8.8,1007904人评价,我是一个演员。
90,https://movie.douban.com/subject/1292262/,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ... 1984 / 美国 意大利 / 犯罪 剧情,9.2,428760人评价,往事如烟，无处祭奠。
91,https://movie.douban.com/subject/1297192/,致命ID,导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷... 2003 / 美国 / 剧情 悬疑 惊悚,8.9,863679人评价,最不可能的那个人永远是最可能的。
92,https://movie.douban.com/subject/1300299/,杀人回忆,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun... 2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,8.9,753582人评价,关于连环杀人悬案的集体回忆。
93,https://movie.douban.com/subject/1296996/,哈利·波特与密室,导演: Chris Columbus 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛... 2002 / 英国 美国 / 奇幻 冒险,8.9,802019人评价,魔法的密室之门已打开...
94,https://movie.douban.com/subject/1865703/,红辣椒,导演: 今敏 Satoshi Kon 主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru... 2006 / 日本 / 动画 悬疑 科幻 惊悚,9.1,495855人评价,梦的勾结。
95,https://movie.douban.com/subject/1298070/,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski 主演: 约翰尼·德普 Johnny Depp / ... 2003 / 美国 / 动作 冒险 奇幻,8.8,894597人评价,约翰尼·德普的独角戏。
96,https://movie.douban.com/subject/1292223/,七宗罪,导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布... 1995 / 美国 / 剧情 犯罪 悬疑 惊悚,8.8,975115人评价,警察抓小偷，老鼠玩死猫。
97,https://movie.douban.com/subject/1292434/,一一,导演: 杨德昌 Edward Yang 主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai... 2000 / 中国台湾 日本 / 剧情 爱情 家庭,9.1,423223人评价,我们都曾经是一一。
98,https://movie.douban.com/subject/6985810/,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg 主演: 麦斯·米科尔森 Mads Mik... 2012 / 丹麦 瑞典 / 剧情,9.1,414322人评价,人言可畏。
99,https://movie.douban.com/subject/1306249/,唐伯虎点秋香,导演: 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈... 1993 / 中国香港 / 喜剧 爱情 古装,8.7,1125873人评价,华太师是黄霑，吴镇宇四大才子之一。
100,https://movie.douban.com/subject/10777687/,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee 主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi... 2013 / 韩国 / 剧情 喜剧 家庭,8.9,578629人评价,《我是山姆》的《美丽人生》。
101,https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E... 2006 / 日本 / 剧情 歌舞,8.9,727133人评价,以戏谑来戏谑戏谑。
102,https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ... 2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,8.9,752600人评价,诺兰就是保证。
103,https://movie.douban.com/subject/1305164/,甜蜜蜜,导演: 陈可辛 Peter Chan 主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ... 1996 / 中国香港 / 剧情 爱情,8.9,593708人评价,相逢只要一瞬间，等待却像是一辈子。
104,https://movie.douban.com/subject/1296339/,爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ... 1995 / 美国 奥地利 瑞士 / 剧情 爱情,8.8,717879人评价,缘分是个连绵词，最美不过一瞬。
